"symbol","model","eval_set","rmse","rsq","last_refreshed"
"1INCH","lm","holdout",0.926851191663835,0.787874213072565,"2022-03-07 02:01:21"
"1INCH","lm","test",0.939136047958378,0.576494130304528,"2022-03-07 02:01:21"
"1INCH","nnet","holdout",1.61918837352536,0.23485431623871,"2022-03-07 02:01:21"
"1INCH","nnet","test",1.79948018987656,0.155651924616875,"2022-03-07 02:01:21"
"1INCH","pcr","holdout",1.09345428954153,0.468870778800693,"2022-03-07 02:01:21"
"1INCH","pcr","test",1.24393568716998,0.38244658400445,"2022-03-07 02:01:21"
"1INCH","rf","holdout",1.17673201368327,0.247429810859766,"2022-03-07 02:01:21"
"1INCH","rf","test",2.12821113700889,0.107062827789377,"2022-03-07 02:01:21"
"1INCH","xgb","holdout",2.42500640413108,0.0175708161143869,"2022-03-07 02:01:21"
"1INCH","xgb","test",2.20198313798335,0.0572578548298033,"2022-03-07 02:01:21"
"ABBC","lm","holdout",0.520549769442328,0.919120417557439,"2022-03-07 02:01:21"
"ABBC","lm","test",1.28108035763865,0.679517616653559,"2022-03-07 02:01:21"
"ABBC","nnet","holdout",1.80170346227065,0.0158220186752384,"2022-03-07 02:01:21"
"ABBC","nnet","test",2.18818838442401,0.101971063558566,"2022-03-07 02:01:21"
"ABBC","pcr","holdout",1.2499896487037,0.65584393876025,"2022-03-07 02:01:21"
"ABBC","pcr","test",1.7166163971275,0.426001091888625,"2022-03-07 02:01:21"
"ABBC","rf","holdout",2.92180741772511,0.0638929177681695,"2022-03-07 02:01:21"
"ABBC","rf","test",1.71552384770633,0.28931407326266,"2022-03-07 02:01:21"
"ABBC","xgb","holdout",2.99364471109639,0.120361189696206,"2022-03-07 02:01:21"
"ABBC","xgb","test",2.62929392403923,0.245725985838972,"2022-03-07 02:01:21"
"ADA","lm","holdout",0.927979899975494,0.546203347589552,"2022-03-07 02:01:21"
"ADA","lm","test",1.11296824808846,0.668402088038271,"2022-03-07 02:01:21"
"ADA","nnet","holdout",1.62048858322873,0.15061856153119,"2022-03-07 02:01:21"
"ADA","nnet","test",2.02663629069694,0.25910081652501,"2022-03-07 02:01:21"
