"date_utc","date_time_utc","stats_day_users","stats_day_txs","stats_week_users","stats_week_txs","stats_month_users","stats_month_txs","stats_all_users","stats_all_txs"
2021-11-01,"2021-11-01 00:36:56",3567,47772,10911,312942,22945,1408302,41020,6403696
2021-11-01,"2021-11-01 01:35:41",3573,47656,10907,312859,22938,1408185,41025,6405130
2021-11-01,"2021-11-01 02:36:57",3592,47688,10896,312848,22935,1407913,41034,6406771
2021-11-01,"2021-11-01 03:36:08",3589,47660,10884,312963,22943,1408030,41045,6408312
2021-11-01,"2021-11-01 04:36:32",3607,47674,10877,312955,22949,1407827,41058,6409728
2021-11-01,"2021-11-01 05:35:40",3630,47573,10879,313055,22954,1407873,41071,6411144
2021-11-01,"2021-11-01 06:36:19",3635,47658,10883,313166,22954,1407586,41078,6412439
2021-11-01,"2021-11-01 07:35:38",3642,47595,10878,313201,22948,1407230,41084,6413567
2021-11-01,"2021-11-01 08:35:36",3650,47512,10884,313102,22942,1406975,41092,6414821
2021-11-01,"2021-11-01 09:33:03",3638,47309,10879,312610,22941,1406603,41104,6416049
2021-11-01,"2021-11-01 10:36:30",3666,47565,10886,312637,22952,1406632,41114,6417591
2021-11-01,"2021-11-01 11:35:41",3678,47680,10887,312465,22958,1406702,41122,6419135
2021-11-01,"2021-11-01 12:40:32",3674,47788,10877,312862,22962,1406668,41132,6420999
2021-11-01,"2021-11-01 13:35:31",3690,47774,10885,313058,22965,1406665,41144,6423082
2021-11-01,"2021-11-01 14:36:52",3716,47598,10898,312681,22962,1406362,41160,6425051
2021-11-01,"2021-11-01 15:35:36",3735,46961,10897,312445,22969,1406251,41176,6427236
2021-11-01,"2021-11-01 16:37:44",3752,46497,10884,312840,22965,1406384,41192,6429968
2021-11-01,"2021-11-01 17:40:21",3746,46377,10883,312209,22968,1405522,41214,6432461
2021-11-01,"2021-11-01 18:37:44",3751,45493,10909,312298,22979,1404697,41239,6434724
2021-11-01,"2021-11-01 19:38:45",3715,44689,10900,312092,22963,1403740,41248,6436960
2021-11-01,"2021-11-01 20:37:09",3688,44489,10918,312086,22975,1403136,41270,6439130
2021-11-01,"2021-11-01 21:36:49",3653,44122,10939,312119,22990,1402851,41296,6441567
2021-11-01,"2021-11-01 22:35:09",3619,43986,10932,312266,22984,1402801,41305,6443637
2021-11-01,"2021-11-01 23:37:01",3614,44142,10925,312576,22987,1402812,41314,6445879
2021-11-02,"2021-11-02 00:35:15",3604,43966,10910,312303,22986,1402997,41325,6447685
2021-11-02,"2021-11-02 01:35:01",3603,44178,10917,312455,22992,1402557,41334,6449310
2021-11-02,"2021-11-02 02:34:18",3601,43984,10929,312156,23003,1402475,41349,6450783
2021-11-02,"2021-11-02 03:34:39",3590,43819,10933,311837,23004,1402168,41363,6452143
2021-11-02,"2021-11-02 04:36:14",3572,43998,10919,311795,23005,1402330,41370,6453693
2021-11-02,"2021-11-02 05:34:16",3555,43694,10933,311540,23013,1402290,41382,6454874
2021-11-02,"2021-11-02 06:33:24",3538,43541,10936,311625,23018,1401980,41394,6455983
2021-11-02,"2021-11-02 07:34:18",3538,43598,10936,311468,23014,1401698,41406,6457195
2021-11-02,"2021-11-02 08:34:15",3527,43639,10945,311207,23017,1401276,41417,6458462
2021-11-02,"2021-11-02 09:35:32",3521,43570,10950,311098,23010,1400972,41421,6459654
2021-11-02,"2021-11-02 10:35:24",3479,43299,10953,311069,23009,1400762,41429,6460909
2021-11-02,"2021-11-02 11:35:09",3489,43124,10953,310925,23011,1400312,41440,6462239
2021-11-02,"2021-11-02 12:35:30",3490,42773,10962,310790,23019,1400373,41459,6463842
2021-11-02,"2021-11-02 13:34:41",3482,42673,10971,311214,23032,1400609,41474,6465718
2021-11-02,"2021-11-02 14:37:27",3500,42985,10992,311801,23047,1400986,41498,6467981
2021-11-02,"2021-11-02 15:34:35",3488,42817,11011,311768,23052,1400759,41514,6470073
2021-11-02,"2021-11-02 16:37:44",3476,42562,11026,312396,23055,1400870,41538,6472612
2021-11-02,"2021-11-02 17:36:51",3457,42710,11039,312974,23054,1400825,41556,6475078
2021-11-02,"2021-11-02 18:35:20",3458,43061,11035,313436,23059,1400863,41573,6477824
2021-11-02,"2021-11-02 19:36:03",3474,43119,11038,313222,23067,1401054,41587,6480011
2021-11-02,"2021-11-02 20:35:25",3508,43586,11056,313441,23079,1401497,41605,6482742
2021-11-02,"2021-11-02 21:35:02",3503,43576,11071,313324,23097,1401419,41638,6485122
2021-11-02,"2021-11-02 22:33:42",3529,43750,11078,313605,23104,1401673,41659,6487463
2021-11-02,"2021-11-02 23:35:37",3510,44038,11092,313945,23103,1401783,41671,6489896
2021-11-03,"2021-11-03 00:35:10",3533,44215,11107,314035,23116,1402085,41685,6491931
2021-11-03,"2021-11-03 01:34:15",3532,44707,11119,314367,23116,1402651,41697,6494041
2021-11-03,"2021-11-03 02:34:58",3534,44859,11129,314089,23122,1402638,41716,6495587
2021-11-03,"2021-11-03 03:34:58",3545,44962,11123,313806,23120,1402835,41726,6497098
2021-11-03,"2021-11-03 04:34:15",3550,44714,11125,313420,23122,1402567,41737,6498453
2021-11-03,"2021-11-03 05:34:17",3559,44987,11131,313652,23122,1402542,41743,6499801
