"date_utc","date_time_utc","stats_day_users","stats_day_txs","stats_day_volume","stats_week_users","stats_week_txs","stats_week_volume","stats_month_users","stats_month_txs","stats_month_volume","stats_all_users","stats_all_txs","stats_all_volume"
2021-12-21,"2021-12-21 01:36:38",724,1482,0,3232,9839,0,8909,49721,0,49477,1998693,2317047269301
2021-12-21,"2021-12-21 02:36:00",731,1515,0,3230,9837,0,8909,49721,0,49481,1998758,2317047269301
2021-12-21,"2021-12-21 03:35:24",739,1580,0,3236,9887,0,8911,49782,0,49485,1998874,2317047269301
2021-12-21,"2021-12-21 04:36:05",739,1603,0,3242,9914,0,8913,49791,0,49488,1998938,2317047269301
2021-12-21,"2021-12-21 05:37:51",745,1617,0,3252,9898,0,8914,49775,0,49493,1998986,2317047269301
2021-12-21,"2021-12-21 06:36:03",749,1653,0,3253,9940,0,8915,49795,0,49496,1999057,2317047269301
2021-12-21,"2021-12-21 07:35:18",750,1739,0,3244,10011,0,8911,49866,0,49498,1999178,2317047269301
2021-12-21,"2021-12-21 08:36:54",752,1749,0,3245,9979,0,8909,49870,0,49501,1999227,2317047269301
2021-12-21,"2021-12-21 09:36:09",753,1741,0,3245,9940,0,8911,49866,0,49505,1999264,2317047269301
2021-12-21,"2021-12-21 10:35:25",741,1734,0,3238,9907,0,8907,49848,0,49505,1999293,2317047269301
2021-12-21,"2021-12-21 11:35:23",739,1726,0,3236,9892,0,8908,49816,0,49507,1999320,2317047269301
2021-12-21,"2021-12-21 12:35:58",763,1757,0,3244,9912,0,8906,49796,0,49512,1999391,2317047269301
2021-12-21,"2021-12-21 13:35:50",772,1807,0,3249,9944,0,8908,49820,0,49516,1999489,2317047269301
2021-12-21,"2021-12-21 14:36:32",781,1822,0,3237,9953,0,8909,49803,0,49525,1999568,2317047269301
2021-12-21,"2021-12-21 15:38:44",750,1747,0,3232,9931,0,8909,49729,0,49527,1999594,2317047269301
2021-12-21,"2021-12-21 16:36:16",712,1498,0,3211,9836,0,8893,49624,0,49527,1999594,2317047269301
2021-12-21,"2021-12-21 17:34:43",778,1623,0,3240,9946,0,8914,49724,0,49543,1999798,2317047269301
2021-12-21,"2021-12-21 18:34:44",779,1639,0,3240,9974,0,8916,49706,0,49549,1999900,2317047269301
2021-12-21,"2021-12-21 19:34:35",786,1617,0,3240,9932,0,8914,49668,0,49558,1999954,2317047269301
2021-12-21,"2021-12-21 20:34:45",788,1603,0,3240,9884,0,8911,49625,0,49560,2000008,2317047269301
2021-12-21,"2021-12-21 21:34:41",776,1590,0,3237,9838,0,8907,49589,0,49563,2000057,2317047269301
2021-12-21,"2021-12-21 22:34:57",771,1576,0,3245,9801,0,8913,49590,0,49567,2000117,2317047269301
2021-12-21,"2021-12-21 23:34:31",768,1559,0,3235,9781,0,8916,49595,0,49572,2000170,2317047269301
2021-12-22,"2021-12-22 00:34:31",767,1564,0,3236,9787,0,8912,49587,0,49579,2000228,2317047269301
2021-12-22,"2021-12-22 01:34:44",770,1581,0,3231,9752,0,8909,49592,0,49580,2000274,2317047269301
