"date_utc","date_time_utc","stats_day_users","stats_day_txs","stats_week_users","stats_week_txs","stats_month_users","stats_month_txs","stats_all_users","stats_all_txs"
2021-12-23,"2021-12-23 00:33:57",2113,27488,7754,188596,17639,874796,52100,8257481
2021-12-23,"2021-12-23 01:34:19",2116,27373,7749,188651,17640,874374,52108,8258637
2021-12-23,"2021-12-23 02:34:11",2140,27535,7759,188819,17645,874045,52121,8259705
2021-12-23,"2021-12-23 03:34:06",2165,27977,7763,189286,17644,873599,52127,8260918
2021-12-23,"2021-12-23 04:34:09",2167,28354,7766,189487,17647,873356,52137,8262290
2021-12-23,"2021-12-23 05:34:13",2187,28591,7794,189552,17669,873363,52166,8263379
2021-12-23,"2021-12-23 07:34:37",2175,28784,7804,189663,17672,872758,52183,8265007
2021-12-23,"2021-12-23 08:34:10",2181,28751,7815,189851,17675,872645,52193,8265908
2021-12-23,"2021-12-23 09:35:17",2197,28938,7816,190113,17678,872814,52200,8266871
2021-12-23,"2021-12-23 10:34:22",2208,28756,7821,190011,17678,872515,52207,8267691
2021-12-23,"2021-12-23 11:34:19",2205,28727,7815,190284,17680,872465,52216,8268681
2021-12-23,"2021-12-23 12:34:23",2216,29305,7806,190671,17682,872436,52223,8270021
2021-12-23,"2021-12-23 13:34:23",2232,29332,7807,190789,17684,872261,52235,8271255
2021-12-23,"2021-12-23 15:34:23",2223,30697,7811,192045,17659,873223,52243,8275190
2021-12-23,"2021-12-23 16:34:45",2246,31103,7809,192477,17651,872756,52249,8277032
2021-12-23,"2021-12-23 17:34:35",2256,31510,7801,192604,17642,872629,52253,8278836
2021-12-23,"2021-12-23 18:34:49",2280,31786,7812,192435,17631,872625,52262,8280539
2021-12-23,"2021-12-23 19:34:43",2283,31735,7804,192000,17629,872395,52270,8281891
2021-12-23,"2021-12-23 20:34:38",2321,32106,7817,191623,17634,872339,52280,8283441
2021-12-23,"2021-12-23 21:34:27",2317,32270,7805,191505,17637,872603,52287,8285103
2021-12-23,"2021-12-23 22:34:19",2306,32255,7799,191367,17634,872644,52295,8286440
2021-12-24,"2021-12-24 00:34:40",2282,32020,7803,192087,17638,873255,52309,8289538
2021-12-24,"2021-12-24 01:34:07",2274,32296,7799,192575,17641,873523,52315,8290912
2021-12-24,"2021-12-24 02:34:06",2266,32893,7794,193053,17640,873346,52323,8292534
